appearance_id,game_id,player_id,player_club_id,player_current_club_id,date,player_name,competition_id,yellow_cards,red_cards,goals,assists,minutes_played
3838274_105470,3838274,105470,31,31,2023-01-02,Alisson,GB1,0,0,0,0,90
3838274_139208,3838274,139208,31,31,2023-01-02,Virgil van Dijk,GB1,0,0,0,0,45
3838274_143424,3838274,143424,31,31,2023-01-02,Alex Oxlade-Chamberlain,GB1,0,0,1,0,83
3838274_148367,3838274,148367,1148,1148,2023-01-02,Christian Nörgaard,GB1,0,0,0,0,90
3838274_148455,3838274,148455,31,31,2023-01-02,Mohamed Salah,GB1,0,0,0,0,90
3838274_204294,3838274,204294,1148,1148,2023-01-02,Saman Ghoddos,GB1,0,0,0,0,3
3838274_225693,3838274,225693,31,31,2023-01-02,Fabinho,GB1,0,0,0,0,90
3838274_234803,3838274,234803,31,31,2023-01-02,Andrew Robertson,GB1,0,0,0,0,45
3838274_251845,3838274,251845,1148,1148,2023-01-02,Sergi Canós,GB1,0,0,0,0,2
3838274_262749,3838274,262749,1148,1148,2023-01-02,David Raya,GB1,0,0,0,0,90
3838274_270171,3838274,270171,1148,1148,2023-01-02,Vitaly Janelt,GB1,0,0,0,0,87
3838274_302215,3838274,302215,31,31,2023-01-02,Naby Keïta,GB1,0,0,0,0,45
3838274_314353,3838274,314353,31,31,2023-01-02,Trent Alexander-Arnold,GB1,0,0,0,1,90
3838274_319859,3838274,319859,1148,1148,2023-01-02,Mathias Jensen,GB1,0,0,0,1,74
3838274_338070,3838274,338070,31,31,2023-01-02,Konstantinos Tsimikas,GB1,0,0,0,0,45
3838274_339556,3838274,339556,1148,1148,2023-01-02,Rico Henry,GB1,0,0,0,0,90
3838274_340321,3838274,340321,1148,1148,2023-01-02,Josh Dasilva,GB1,0,0,0,0,16
3838274_357119,3838274,357119,31,31,2023-01-02,Ibrahima Konaté,GB1,0,0,0,0,90
3838274_372240,3838274,372240,1148,1148,2023-01-02,Mads Bech Sörensen,GB1,0,0,0,0,1
3838274_388165,3838274,388165,1148,1148,2023-01-02,Yoane Wissa,GB1,0,0,1,0,74
3838274_391005,3838274,391005,1148,1148,2023-01-02,Mads Roerslev,GB1,0,0,0,0,90
3838274_413039,3838274,413039,1148,1148,2023-01-02,Bryan Mbeumo,GB1,0,0,1,0,88
3838274_433188,3838274,433188,31,31,2023-01-02,Curtis Jones,GB1,0,0,0,0,7
3838274_442248,3838274,442248,1148,1148,2023-01-02,Ethan Pinnock,GB1,0,0,0,0,90
3838274_52059,3838274,52059,1148,1148,2023-01-02,Zanka,GB1,1,0,0,0,90
3838274_546543,3838274,546543,31,31,2023-01-02,Darwin Núñez,GB1,1,0,0,0,90
3838274_565822,3838274,565822,31,31,2023-01-02,Harvey Elliott,GB1,1,0,0,0,45
3838274_60444,3838274,60444,31,31,2023-01-02,Thiago,GB1,1,0,0,0,90
