club_id,name,domestic_competition_id,stadium_name,net_transfer_record,last_season
105,SV Darmstadt 98,L1,Merck-Stadion am Böllenfalltor,€-1.60m,2023
114,Besiktas JK,TR1,Beşiktaş Park,€-3.75m,2023
12,AS Roma,IT1,Olimpico di Roma,+€71.00m,2023
148,Tottenham Hotspur,GB1,Tottenham Hotspur Stadium,€-82.00m,2023
19789,Yeni Malatyaspor,TR1,Yeni Malatya Stadyumu,+€778k,2021
4795,FC Ingolstadt 04,L1,Audi Sportpark,+€1.55m,2016
5358,SD Huesca,ES1,El Alcoraz,+€1.43m,2020
603,Cardiff City,GB1,Cardiff City Stadium,€-655k,2018
868,MKE Ankaragücü,TR1,Eryaman Stadyumu,€-350k,2023
969,Montpellier HSC,FR1,Stade de la Mosson,+€1.80m,2023
989,AFC Bournemouth,GB1,Vitality Stadium,€-99.29m,2023
993,Córdoba CF,ES1,Nuevo Arcángel,+-0,2014
1025,Bologna FC 1909,IT1,Stadio Renato Dall’Ara,€-23.50m,2023
1082,LOSC Lille,FR1,Decathlon Arena-Stade Pierre-Mauroy,€-16.20m,2023
1160,Nîmes Olympique,FR1,Stade des Antonins,+€2.50m,2020
11688,Giresunspor,TR1,Çotanak Spor Kompleksi,+-0,2022
3008,Hull City,GB1,MKM Stadium,+€7.50m,2016
31,Liverpool FC,GB1,Anfield,€-51.30m,2023
3911,Stade Brestois 29,FR1,Stade Francis-Le Blé,+€5.10m,2023
4,1.FC Nuremberg,L1,Max-Morlock-Stadion,+€2.63m,2018
410,Udinese Calcio,IT1,Dacia Arena,€-3.99m,2023
449,Trabzonspor,TR1,Papara Park,€-4.57m,2023
595,SC Bastia,FR1,Stade Armand-Cesari,+€480k,2016
6890,Basaksehir FK,TR1,Başakşehir Fatih Terim,+-0,2023
1010,Watford FC,GB1,Vicarage Road,+€42.02m,2021
1108,Deportivo Alavés,ES1,Mendizorroza,€-5.30m,2023
1158,FC Lorient,FR1,Stade du Moustoir,+€38.00m,2023
13,Atlético de Madrid,ES1,Civitas Metropolitano,+€43.30m,2023
131,FC Barcelona,ES1,Spotify Camp Nou,+€94.50m,2023
141,Galatasaray,TR1,Ali Sami Yen Spor Kompleksi RAMS Park,€-13.79m,2023
18,Borussia Mönchengladbach,L1,Stadion im Borussia-Park,€-4.28m,2023
2036,1.FC Heidenheim 1846,L1,Voith-Arena,€-2.30m,2023
273,Stade Rennais FC,FR1,Roazhon Park,+€18.50m,2023
366,Real Valladolid CF,ES1,Nuevo José Zorrilla,+€2.50m,2022
458,Palermo FC,IT1,"Comunale Renzo Barbera ""La Favorita""",€-7.94m,2016
46,Inter Milan,IT1,Giuseppe Meazza,+€74.00m,2023
995,FC Nantes,FR1,Stade de la Beaujoire,+€4.55m,2023
1003,Leicester City,GB1,King Power Stadium,+€26.00m,2022
1237,Brighton & Hove Albion,GB1,AMEX Stadium,+€113.25m,2023
2969,Dijon FCO,FR1,Stade Gaston-Gérard,+€1.50m,2020
3522,Spezia Calcio,IT1,Alberto Picco,€-3.95m,2022
39722,Erzurumspor FK,TR1,Erzurum Kazım Karabekir,+€70k,2020
40,FC Girondins Bordeaux,FR1,Matmut Atlantique,+€12.70m,2021
589,Antalyaspor,TR1,Corendon Airlines Park Antalya Stadı,+€10.43m,2023
6,Adanaspor,TR1,Yeni Adana Stadyumu,+-0,2016
6195,SSC Napoli,IT1,Stadio Diego Armando Maradona,€-4.50m,2023
82,VfL Wolfsburg,L1,Volkswagen Arena,+€25.60m,2023
1050,Villarreal CF,ES1,La Cerámica,+€97.00m,2023
1147,AC Ajaccio,FR1,Stade François-Coty,+-0,2022
