game_id,competition_id,season,round,date,home_club_id,away_club_id,home_club_goals,away_club_goals,home_club_position,away_club_position,home_club_manager_name,away_club_manager_name,stadium,attendance,referee,url,home_club_name,away_club_name,aggregate,competition_type
3825606,DFB,2022,First Round,2022-08-01,4795,105,0,3,,,Rüdiger Rehm,Torsten Lieberknecht,Audi Sportpark,5208.0,Robert Hartmann,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/3825606,FC Ingolstadt 04,SV Darmstadt 98,0:3,domestic_cup
3837815,GB1,2022,1. Matchday,2022-08-06,931,31,2,2,9.0,10.0,Marco Silva,Jürgen Klopp,Craven Cottage,22207.0,Andrew Madley,https://www.transfermarkt.co.uk/fulham-fc_liverpool-fc/index/spielbericht/3837815,Fulham FC,Liverpool FC,2:2,domestic_league
3837821,GB1,2022,1. Matchday,2022-08-06,29,631,0,1,15.0,8.0,Frank Lampard,Thomas Tuchel,Goodison Park,39254.0,Craig Pawson,https://www.transfermarkt.co.uk/everton-fc_chelsea-fc/index/spielbericht/3837821,Everton FC,Chelsea FC,0:1,domestic_league
3837840,GB1,2022,3. Matchday,2022-08-22,985,31,2,1,14.0,16.0,Erik ten Hag,Jürgen Klopp,Old Trafford,76000.0,Michael Oliver,https://www.transfermarkt.co.uk/manchester-united_liverpool-fc/index/spielbericht/3837840,Manchester United,Liverpool FC,2:1,domestic_league
3837853,GB1,2022,4. Matchday,2022-08-28,543,762,1,1,19.0,7.0,Bruno Lage,Eddie Howe,Molineux Stadium,31311.0,Peter Bankes,https://www.transfermarkt.co.uk/wolverhampton-wanderers_newcastle-united/index/spielbericht/3837853,Wolverhampton Wanderers,Newcastle United,1:1,domestic_league
3837855,GB1,2022,5. Matchday,2022-08-31,11,405,2,1,1.0,19.0,Mikel Arteta,Steven Gerrard,Emirates Stadium,60012.0,Robert Jones,https://www.transfermarkt.co.uk/arsenal-fc_aston-villa/index/spielbericht/3837855,Arsenal FC,Aston Villa,2:1,domestic_league
3837975,GB1,2022,6. Matchday,2022-09-03,631,379,2,1,6.0,18.0,Thomas Tuchel,David Moyes,Stamford Bridge,39923.0,Andrew Madley,https://www.transfermarkt.co.uk/chelsea-fc_west-ham-united/index/spielbericht/3837975,Chelsea FC,West Ham United,2:1,domestic_league
3838007,GB1,2022,8. Matchday,2022-09-17,543,281,0,3,17.0,2.0,Bruno Lage,Pep Guardiola,Molineux Stadium,31578.0,Anthony Taylor,https://www.transfermarkt.co.uk/wolverhampton-wanderers_manchester-city/index/spielbericht/3838007,Wolverhampton Wanderers,Manchester City,0:3,domestic_league
3838024,GB1,2022,10. Matchday,2022-10-08,281,180,4,0,2.0,17.0,Pep Guardiola,Ralph Hasenhüttl,Etihad Stadium,53365.0,Andrew Madley,https://www.transfermarkt.co.uk/manchester-city_southampton-fc/index/spielbericht/3838024,Manchester City,Southampton FC,4:0,domestic_league
3838027,GB1,2022,10. Matchday,2022-10-09,379,931,3,1,16.0,9.0,David Moyes,Marco Silva,London Stadium,62454.0,Chris Kavanagh,https://www.transfermarkt.co.uk/west-ham-united_fulham-fc/index/spielbericht/3838027,West Ham United,Fulham FC,3:1,domestic_league
3838197,GB1,2022,13. Matchday,2022-10-23,543,1003,0,4,19.0,18.0,Steve Davis,Brendan Rodgers,Molineux Stadium,29811.0,Michael Oliver,https://www.transfermarkt.co.uk/wolverhampton-wanderers_leicester-city/index/spielbericht/3838197,Wolverhampton Wanderers,Leicester City,0:4,domestic_league
