player_id,name,last_season,current_club_id,height_in_cm,market_value_in_eur,highest_market_value_in_eur
18922,Karim Benzema,2022,418,185.0,25000000.0,60000000.0
30321,Óscar Trejo,2022,367,180.0,3000000.0,4000000.0
33925,Jessy Moulin,2022,1095,184.0,200000.0,1000000.0
42373,Diego Alves,2022,940,187.0,300000.0,12000000.0
45314,Federico Fazio,2022,380,195.0,400000.0,13000000.0
45320,Ángel Di María,2022,506,180.0,8000000.0,65000000.0
45389,Samuel Di Carmine,2022,2239,187.0,350000.0,1700000.0
45403,André Ayew,2022,703,175.0,1800000.0,18000000.0
51152,Aleksandar Mitrović,2022,931,189.0,28000000.0,28000000.0
52119,Patrick van Aanholt,2022,141,176.0,3000000.0,12000000.0
55769,Danilo D'Ambrosio,2022,46,180.0,1500000.0,13000000.0
57051,Sebastian Rudy,2022,533,180.0,1000000.0,15000000.0
59016,David Alaba,2022,418,180.0,40000000.0,65000000.0
60558,Maxime Le Marchand,2022,667,185.0,,5000000.0
63186,Roberto Soriano,2022,1025,182.0,2500000.0,16000000.0
64598,Bernardo Espinosa,2022,12321,192.0,1500000.0,7000000.0
65278,Pedro,2022,398,167.0,1500000.0,30000000.0
67089,Juan Cala,2022,2687,186.0,600000.0,2000000.0
74683,Nemanja Matic,2022,12,194.0,4000000.0,40000000.0
77383,Eiji Kawashima,2022,667,185.0,150000.0,3000000.0
81789,Maya Yoshida,2022,33,189.0,900000.0,7000000.0
85177,Nathaniel Clyne,2022,873,175.0,2000000.0,21000000.0
86202,Antonio Rüdiger,2022,418,190.0,32000000.0,50000000.0
88721,Jeffrey Bruma,2022,10484,189.0,450000.0,10000000.0
93763,Alexander Schwolow,2022,33,190.0,900000.0,9000000.0
99227,Andrea Bertolacci,2022,3205,179.0,1300000.0,15000000.0
99397,Karl Darlow,2022,762,190.0,1000000.0,4500000.0
106405,Jeffrey Gouweleeuw,2022,167,187.0,3000000.0,12000000.0
106987,Marcel Sabitzer,2022,985,177.0,20000000.0,42000000.0
107010,Stefan Savic,2022,13,187.0,6000000.0,40000000.0
108880,Koen Casteels,2022,82,197.0,8000000.0,14000000.0
110708,Fredrik Gulbrandsen,2022,3840,175.0,1600000.0,4000000.0
110867,Jed Steer,2022,405,183.0,500000.0,2000000.0
111078,Emil Forsberg,2022,23826,177.0,7000000.0,28000000.0
115763,Koray Günter,2022,1038,186.0,3500000.0,5000000.0
120296,Benjamin Uphoff,2022,60,192.0,500000.0,600000.0
120629,Alphonse Areola,2022,379,195.0,8000000.0,17500000.0
124555,Cristiano Biraghi,2022,430,185.0,5000000.0,12000000.0
125314,Pontus Jansson,2022,1148,196.0,2500000.0,7000000.0
126719,Juan Bernat,2022,583,170.0,10000000.0,20000000.0
131694,Olarenwaju Kayode,2022,24245,176.0,1300000.0,4000000.0
131951,Kevin Lasagna,2022,276,181.0,1800000.0,8000000.0
139435,Dani Rodríguez,2022,237,178.0,1200000.0,1500000.0
149579,Elbasan Rashani,2022,3524,181.0,2000000.0,2500000.0
162027,David Gil,2022,2687,186.0,700000.0,800000.0
172163,Ugur Ciftci,2022,2381,179.0,2100000.0,2750000.0
183321,Kevin Mbabu,2022,931,184.0,3500000.0,14000000.0
190393,Corentin Tolisso,2022,1041,181.0,14000000.0,45000000.0
191391,Yusuf Erdogan,2022,449,171.0,475000.0,6250000.0
192565,Leroy Sané,2022,27,183.0,65000000.0,100000000.0
193784,Carlos Clerc,2022,1531,181.0,1500000.0,3000000.0
196158,Brahim Darri,2022,6646,175.0,100000.0,1000000.0
197471,Roberto Gagliardini,2022,46,188.0,4000000.0,20000000.0
197521,Vukan Savicevic,2022,11688,179.0,650000.0,750000.0
202984,Roque Mesa,2022,366,172.0,2500000.0,12000000.0
203043,Pedro Bigas,2022,1531,181.0,1000000.0,5000000.0
204189,Okan Kocuk,2022,141,187.0,850000.0,1300000.0
206947,Kévin Rodrigues,2022,3840,170.0,2300000.0,5000000.0
210178,Pablo Marí,2022,2919,193.0,5000000.0,7000000.0
211251,Darwin Machís,2022,366,171.0,3000000.0,10000000.0
211325,Badou Ndiaye,2022,3840,180.0,1500000.0,15000000.0
212391,Roger Martí,2022,2687,179.0,2000000.0,10000000.0
216870,Nacho Vidal,2022,331,180.0,5000000.0,5000000.0
229004,Moussa Dembélé,2022,1041,187.0,12000000.0,50000000.0
232964,Emiliano Marcondes,2022,989,182.0,1500000.0,2800000.0
237662,Breel Embolo,2022,162,187.0,20000000.0,22000000.0
238537,Wladimiro Falcone,2022,1005,195.0,5000000.0,5000000.0
241076,Emmanuel Gyasi,2022,3522,181.0,2000000.0,2500000.0
241501,Stijn Spierings,2022,415,188.0,6000000.0,6000000.0
241923,Lorenzo Montipò,2022,276,191.0,4000000.0,4500000.0
244192,Pierluigi Gollini,2022,430,194.0,4500000.0,17000000.0
245537,Nabil Bentaleb,2022,1420,187.0,7000000.0,20000000.0
251299,Finn Dahmen,2022,39,188.0,2500000.0,2500000.0
251302,Niklas Dorsch,2022,167,178.0,7000000.0,10000000.0
254037,Iza Carcelén,2022,2687,170.0,1500000.0,2000000.0
255906,Scott McKenna,2022,703,189.0,10000000.0,10000000.0
256339,Emil Audero,2022,1038,192.0,6000000.0,15000000.0
259943,Isaac Sackey,2022,24245,190.0,500000.0,1250000.0
260827,Joachim Andersen,2022,873,192.0,30000000.0,32000000.0
261905,Suat Serdar,2022,44,184.0,4500000.0,25000000.0
262609,Hamidou Traore,2022,11688,175.0,1800000.0,2300000.0
262749,David Raya,2022,1148,183.0,30000000.0,30000000.0
269393,Ali Karimi,2022,3205,185.0,550000.0,700000.0
276895,Steven Fortes,2022,826,192.0,400000.0,1000000.0
282429,Sergio Reguilón,2022,13,178.0,10000000.0,28000000.0
286384,Eric Bailly,2022,244,187.0,5000000.0,35000000.0
291276,Marcin Listkowski,2022,1005,178.0,300000.0,400000.0
294525,Otabek Shukurov,2022,6646,183.0,2500000.0,4000000.0
295622,Keidi Bare,2022,714,174.0,3000000.0,4000000.0
303259,Dodi Lukébakio,2022,44,187.0,12000000.0,21000000.0
308133,Ado Onaiwu,2022,415,180.0,1500000.0,1500000.0
311044,Alfonso Espino,2022,2687,172.0,3500000.0,6000000.0
320141,Caglar Söyüncü,2022,1003,185.0,15000000.0,45000000.0
324690,Jonathan Ikoné,2022,430,175.0,16000000.0,40000000.0
325223,Mama Baldé,2022,1095,176.0,8000000.0,8000000.0
326843,Erhun Öztümer,2022,3840,160.0,150000.0,750000.0
330635,Felix Götze,2022,167,185.0,400000.0,1000000.0
331779,Kristian Pedersen,2022,3,189.0,1200000.0,5000000.0
332798,Roland Sallai,2022,60,183.0,10000000.0,16000000.0
337066,Toni Villa,2022,12321,172.0,2500000.0,6000000.0
339943,Iké Ugbo,2022,1095,184.0,3000000.0,5000000.0
340321,Josh Dasilva,2022,1148,184.0,16000000.0,16000000.0
340853,Javi Sánchez,2022,366,189.0,3000000.0,3000000.0
342385,Guido Rodríguez,2022,150,185.0,28000000.0,28000000.0
345189,Luka Lochoshvili,2022,2239,192.0,1800000.0,1800000.0
353399,Romain Del Castillo,2022,3911,172.0,3000000.0,6000000.0
354741,Loren Morón,2022,150,185.0,2000000.0,20000000.0
362086,Isi Palazón,2022,367,169.0,12000000.0,12000000.0
367464,Luís Maximiano,2022,398,190.0,6000000.0,12000000.0
370846,Timothy Weah,2022,1082,183.0,14000000.0,15000000.0
371003,Ante Palaversa,2022,1095,187.0,700000.0,5000000.0
380913,Demeaco Duhaney,2022,924,180.0,325000.0,325000.0
385906,Kevin Varga,2022,7775,178.0,1000000.0,2500000.0
387143,Dogucan Haspolat,2022,449,177.0,2400000.0,2500000.0
402887,Anastasios Chatzigiovanis,2022,868,177.0,1500000.0,2000000.0
406675,Marlon,2022,868,178.0,2000000.0,3800000.0
407098,Jakub Kaminski,2022,82,179.0,12000000.0,12000000.0
407885,Wajdi Kechrida,2022,380,184.0,800000.0,1500000.0
409515,Adnan Ugur,2022,6646,174.0,350000.0,500000.0
410708,Pascal Struijk,2022,399,190.0,18000000.0,20000000.0
411295,Raphinha,2022,131,176.0,60000000.0,60000000.0
413605,David Okereke,2022,2239,181.0,4000000.0,11000000.0
417575,Uros Racic,2022,1049,193.0,6500000.0,10000000.0
418543,Perr Schuurs,2022,416,191.0,25000000.0,25000000.0
418659,Amine Gouiri,2022,273,181.0,35000000.0,50000000.0
423436,Santiago Ascacíbar,2022,2239,168.0,5500000.0,25000000.0
424204,Alphonso Davies,2022,27,185.0,70000000.0,80000000.0
425902,Ryan Yates,2022,703,190.0,11000000.0,11000000.0
425918,Jakub Kiwior,2022,3522,189.0,25000000.0,25000000.0
442531,Edouard Mendy,2022,631,194.0,12000000.0,32000000.0
444523,Lucas Paquetá,2022,379,180.0,45000000.0,45000000.0
459467,Jorman Campuzano,2022,11688,175.0,1500000.0,3500000.0
461906,João Moutinho,2022,3522,183.0,1500000.0,1500000.0
468309,Lucas Rosa,2022,366,177.0,1000000.0,1000000.0
